Country,Region,Male,Female,Total_Pop,Life_Expectancy_Male,Life_Expectancy_Female,Life_Expectancy_Both,Health_Exp_Per_Capita,Health_Expend_of_GDP,Child_Mortality_Rate,Heart_Disease_Male,Heart_Disease_Female,Heart_Disease_Total
Burkina Faso,Africa,9572,9621,19193,59.6,60.9,60.3,41,6.8,2.5,22.5,21.2,21.7
Burundi,Africa,5347,5518,10864,58.5,61.8,60.1,23,7.7,2.2,23.1,22.7,22.9
Cambodia,Western Pacific,272,274,546,71.1,75,73.2,160,5.3,1,19,15.9,17.2
Cameroon,Africa,7810,8196,16005,67.3,71.2,69.4,78,6.1,1.5,23.9,19.1,21.1
Canada,Americas,12038,12015,24054,56.7,59.4,58.1,64,4.7,2.6,22.3,20.9,21.6
Cape Verde,Africa,18172,18452,36624,80.9,84.7,82.8,4458,10.5,0.4,11.5,8.1,9.8
Central African Republic,Africa,2298,2361,4659,51.7,54.4,53,16,4.3,4.2,23.9,22.4,23.1
Chad,Africa,7458,7442,14900,53.1,55.4,54.3,32,4.5,3.5,24.2,23.7,23.9
Chile,Americas,8944,9111,18055,76.5,82.4,79.5,1191,8.5,0.5,14.8,10.1,12.4
China,Western Pacific,730006,687499,1417505,75,77.9,76.4,398,5,0.5,19.8,14.1,17
Colombia,Americas,24140,24925,49066,71.5,78.8,75.1,340,5.9,0.8,18.3,13.5,15.8
Comoros,Africa,411,403,814,62.3,65.5,63.9,59,7.6,3.2,24.8,21.2,22.9
Congo,Africa,2632,2629,5261,63,65.6,64.3,70,4.6,1.9,15.9,17.4,16.7
Cook Islands,Western Pacific,9,9,17,,,,576,3.4,0.4,,,
Costa Rica,Americas,2454,2452,4906,77,82.2,79.6,889,7.6,0.6,13.7,9.4,11.5
Cªte d'Ivoire,Africa,12307,11988,24295,,,,68,4.4,3.4,28.2,30.1,29.1
Croatia,Europe,2019,2170,4189,75,81.5,78.2,884,7.2,0.3,22.8,10.7,16.7
Cuba,Americas,5745,5740,11485,76.8,81.3,79,971,12.2,0.2,19,13.8,16.4
Cyprus,Europe,590,589,1180,78.4,83.1,80.7,1634,6.9,0.2,15.2,7.5,11.3
Czech Republic,Europe,5219,5399,10618,76.2,82.1,79.1,1322,7.1,0.2,20,10.2,15
Democratic People's Republic of Korea,SouthEast Asia,12468,13023,25491,68.2,75.5,71.9,,,1,34.4,17.6,25.6
Democratic Republic of the Congo,Africa,40581,40759,81340,58.9,62,60.5,21,3.9,2.9,19.7,19.2,19.4
Denmark,Europe,2852,2882,5734,79.3,83.2,81.2,5566,10.4,0.3,13.1,9.5,11.3
Djibouti,Eastern Mediterranean,480,477,957,62.2,65.5,63.8,70,3.5,3.2,21.2,18.2,19.6
Dominica,Americas,37,37,74,,,,419,5.3,2.7,,,
Dominican Republic,Americas,5361,5406,10767,70.6,76.7,73.5,414,6.2,2,21.7,16.5,19
